Metric,LightGBM,Transformer,Ensemble
MAE,3.7459966800541653,3.683301961368353,3.616041370385337
RMSE,5.251704069954022,4.963265514280994,4.958398061910014
WAPE,0.27760953939639155,0.2729633388085408,0.26797876907260226
sMAPE,0.3733784044282076,0.37863994152000907,0.3669297835073304
MASE,0.7466128702573502,0.7341172147974221,0.7207115374361946
Bias,-0.6469822164531751,0.35630123530439145,-0.14534049057439175
Directional Accuracy,0.557214948172395,0.4346699399890889,0.49215766503000546
Zero Hit Rate,0.0,0.0,0.0
RÂ²,0.7345692334661493,0.7629249848230607,0.7633897536346159
Mean Prediction,12.846778438166668,13.850061889924236,13.34842016404545
Std Prediction,8.248469150329074,9.01209043711045,8.56490889297594
Mean Actual,13.493760654619843,13.493760654619843,13.493760654619843
Std Actual,10.193530231556192,10.193530231556192,10.193530231556192
PICP_50CI,0.512580975110808,0.5493351517217866,0.552744630071599
Winkler_50CI,0.8932423418553982,3.169631601842063,11.690813833273207
PICP_80CI,0.8053187862257075,0.8425502898056597,0.8428230480736447
Winkler_80CI,7.9098414947293625,11.350469971648831,16.067026334346306
